lemma	gloss
Achilles	a Grecian hero
Actaeus	prop. of Acte (the coast of Attica)
Adonis	Adonis, a youth beloved by Venus
Aegle	
Aegon	
Aethiopes	
Afri	
Aganippe	
Alcides	a descendant of Alceus; esp. his grandson Hercules
Alcimedon	
Alcippe	
Alcon	
Alexis	
Alphesiboeus	
Alpinus	of the Alps, Alpine
Amaryllis	a shepherdess
Amor	love, affection, strong friendly feeling; Amor, god of love
Amphion	a son of Jupiter
Amyntas	
Antigenes	
Aones	
Aonius	of Aonia (i.e. Boeotia)
Apollo	Apollo
Aracimthus	
Araris	
Arcades	
Arcadia	
Arethusa	
Argo	
Arion	
Ariusius	
Armenius	
Ascraeus	
Assyrius	
Bacchus	the son of Jupiter and Semele, the god of wine, of intoxication and inspiration
Bauius	
Bianor	
Boreas	the north wind
Britanni	
Caesar	
Calliope	
Camenae	
Cancer	a crab, seacrab, river-crab
Caucasius	
Ceres	the daughter of Saturn, goddess of agriculture
Chalcidicus	
Chaonius	
Chromis	a sea-fish
Cinna	
Circe	daughter of the Sun, a sorceress
Codrus	
Conon	
Corydon	
Cremona	
Creta	Cretan earth, pipe - clay, chalk
Cumaeus	
Custos	a guard, watch, preserver, keeper, overseer, protector, defender, attendant
Cydonius	
Cynthius	
Cyrneus	
Damoetas	
Damon	
Daphnis	
Dardanius	Trojan
Darmoeta	
Delia	
Dictaeus	
Dionaeus	
Dircaeus	
Doris	
Dryades	wood-nymphs, dryads
Dulichius	
Eurotas	
Faunus	a mythical king of Latium, worshipped as the Italian Pan
Formonius	
Formonsis	
Fors	chance, hap, luck, hazard, accident
Fortunatus	prospered, prosperous, lucky, happy, fortunate
Galatea	
Gallus	of Gaul, Gallic
Garamantes	
Germania	
Gortynius	
Gryneus	
Hebrus	
Hesperides	
Hesperus	
Hin	
Hybla	
Hyblaeus	
Hylas	
Iacchus	Bacchus
Illon	
Illyricus	Illyrian
Iolla	
Ismarus	
Iuppiter	Jupiter, Jove, son of Saturn, brother and husband of Juno, chief of the gods, god of the sky
Liber	an Italian deity of planting and fructification
Libertas	freedom, liberty, absence of restraint, permission
Libethrides	
Linus	
Lucifer	lightbringing
Lucina	she that brings to light, goddess of childbirth
Luna	the moon
Lycaeus	
Lycidas	
Lycisca	
Lycoris	
Lyctius	
Maenalius	of  Maenalus, Maenalian
Maenalus	a  range of mountains in Arcadia, sacred to Pan
Maeuius	
Mantua	
Mars	Mars, father of Romulus and god of war, with whose month, Martius, the Roman          year began
Martius	of Mars; March
Meliboeus	
Menalcas	
Micon	
Mincius	
Mnasyllis	
Moeris	
Mopsus	
Musa	a muse, one  of the nine Muses (goddesses of poetry, music, and all liberal arts)
Nais	a water-nymph, Naiad
Neaera	
Nereus	
Nerinus	
Nisa	
Nisae	
Notus	the south wind
Nympha	a bride,  mistress, young woman; nymph, demi-goddess inhabiting water or other natural parts
Oaxes	
Oeta	
Olympus	a high mountain on the borders of Macedonia and Thessaly
Orpheus	
Palaemon	
Pales	an Italian goddess of shepherds and pastures
Pallas	a surname  of Athene (identified with the Roman Minerva)
Pan	Pan, son of  Mercury, god of woods and shepherds, often represented as half man, half goat
Parca	a goddess of Fate
Parcius	
Paris	
Parnasius	of Mt. Parnassus, Parnassian
Parnasus	Mt Parnassus, home to the Muses
Parthenius	
Parthus	
Pasiphae	
Peloris	a large  shell-fish, the giant mussel
Permessus	
Phaethontiades	
Phillis	
Philomela	a  daughter of Pandion, changed into a nightingale
Phoebus	Apollo as  the god of light
Phyllis	
Pierides	
Pindus	
Poeni	the Carthaginians (as of Phoenician origin)
Pollio	
Pontus	the sea
Priapus	Priapus,  the god of gardens and vineyards
Proetides	
Prometheus	a  son of Iapetus, who stole fire from heaven for men
Pyrrha	
Rhenus	
Rhodope	
Roma	Rome, the mother city
Sardonius	
Saturnius	of Saturn, Saturnian
Scylla	
Scythia	
Sicanus	
Sicelis	Sicilian
Siculus	
Sider	
Silenus	the  snub-nosed and drunken tutor of Bacchus
Siluanus	
Siluie	
Sithonius	
Sophocleus	
Stimichon	
Syracosius	Syracusan, of Syracuse (the chief city of Sicily)
Tereus	
Thalia	the Muse of Comedy
Thestylis	
Thetis	a sea-nymph,  mother of Achilles
Thracius	
Thyrsis	
Tigris	a tiger, tigress
Timauus	
Tiphys	
Tityrus	a shepherd
Tmarus	
Troia	Troy
Uarus	bent, turned awry, crooked
Uenus	sale
Uesper	the evening-star
Ulixes	Ulysses
ab	from, away from, out of
abduco	to lead away, take away, carry off, remove, lead aside
abeo1	
abies	the fir-tree, silver-fir
absum1	
abundans2	
ac1	
acanthus    
accipio	to take without effort, receive, get, accept
acer2	sharp, piercing, penetrating, cutting, irritating, pungent
acutus	sharpened, pointed, sharp, cutting
ad2	
addo	to put to, place upon, lay on, join, attach
adeo2	To designate a limit, to this, thus far, so far, as far
adhuc	of time, until now, heretofore, hitherto, as yet
adiungo	to fasten on, join to, harness
admoneo	to bring to mind, remind, suggest, put in mind of
admoueo	
adoleo	offer burnt sacrifice
aduena  
aduentus	
aduersus1	
aeger2	
aequiparo	
aequor	an even surface, level; (surface of the) sea
aequum	a plain, level
aerius	of the air, aerial, high, heavenly
aes	crude metal, base metal, copper
aestas	summer
aestus	an agitation, glow, heat, rage of fire
aetas	the life of man, age, lifetime, years
aeuum	
age	imper. of ago, freq. as interj, come, go to; see ago
agellus	a small estate, little field
ager	productive land, a field, farm, estate, arable land, pasture
aggredior	to approach, attack
agna	a ewe lamb
agnus	a lamb
ago	to put in motion, move, lead, drive, tend, conduct
agrestis	of the fields, belonging to the country
agrestis2	a countryman, peasant, rustic
agricola	a husbandman, agriculturist, ploughman, farmer, peasant
ah	interj. --Of distress or pity, of reproach or admonition, of surprise
ala	a wing; armpit
alacer	lively, brisk, quick, eager, excited, glad, happy
album	white color, whiteness
albus	white (without lustre, opp. ater; cf. candidus, opp. niger):
alga	sea-weed, --Prov. of worthlessness
alibi	elsewhere, somewhere else, at another place (cf. alio loco)
alienus2	one of another house, a stranger to the family, foreigner, alien
aliquis	pron indef., some one, any one, anybody, one or another; neut., something, anything
aliquot	some, several, a few, not many, a number:
alius	another, other, different
alloquor	to speak to, address, salute, greet
almus	nourishing, fruitful, foodgiving
alnus	the alder
alo	to feed, nourish, support, sustain, maintain
altar	
alte	high, on high, from above, loftily
alter	one, another, the one, the other
alternis	alternately, by turns
alternus	one after the other, alternate, in turn, reciprocal
altus	(nourished, grown great,) high, lofty, tall; deep
amans1	
amarus	bitter, pungent
ambo2	
amnis	a river
amo	to love
amomum	an aromatic shrub, used in making balsam
amor	love, affection, strong friendly feeling; Amor, god of love
ample	largely, broadly, abundantly, spaciously, extensively
amplector	to twine around, encircle, encompass, embrace
an	or
anethum	dill, anise
anguis	a serpent, snake
anima	air, breath, life, soul
animal	a living being, animal
animus	the rational soul
annus	a year
ansa	a handle, haft
anser	a goose
ante1	
ante2	
antiqui	
antrum	a cave, cavern, grotto (poet.)
aper	a wild boar
apis	a bee
apium	parsley
appareo	to appear, to be clear, to be evident
apricus	exposed to the sun, warmed by sunshine, sunny
apud	near, at, with (a person)
aqua	water
aquila	an eagle
aquosus	abounding in water, rainy, moist, watery
ara	a structure for sacrifice, altar
arator	a ploughman
aratrum	a plough
arbor	a tree
arbustum	a place where trees are planted, plantation, vineyard planted with trees
arbutus	the wild strawberrytree, arbutus
arcus	a bow
ardens	glowing, fiery, hot, ablaze
ardeo	to be on fire, burn, blaze, be burned
arena	
areo	to be dry, be parched
argutus	active, quick, expressive, lively, wordy
aries	a ram
arista	the top of an ear, beard of grain
arma	weapons; implements, outfit, instruments, tools
armentum	cattle for ploughing
artus1	
arundo	
aruum	
arx	a castle, citadel, fortress, stronghold
asper	(without hope) ; rough, uneven, harsh; violent, unkind, cruel
aspicio	to look at, look upon, behold, look
assidue	continually, constantly, uninterruptedly
assiduus	attending, continually present, busied
assum1	
assurgo	to rise up, rise, stand up
astrum	a heavenly body, star, constellation
at2	
atque1	
attero	to rub against, rub away, wear
attingo	to touch, come in contact with
attondeo	to shave, shear
audeo	to venture, dare, be bold, dare to do, risk
audio	to hear
auena	wild oats
auerto	to turn away, avert, turn off, remove
aufero	to take away, bear off, carry off, withdraw, remove
aura	the air (in motion), a breeze, breath of air, wind, blast
aureus2	
auris	the ear
auster	the south wind
aut	or
bacca	
baccar	
barba	the beard
barbarus2	
beatus	happy, prosperous, blessed, fortunate
bellum	war
bene	well
bibo2	
binus	
bis	twice, at two times, on two occasions
bitumen	mineral pitch, bitumen:
blandus	of smooth tongue, flattering, fawning, caressing
bonus	good
bos	an ox, bull, cow
breuis	
bucula	a heifer, young cow
cacumen	an extremity, point, peak, top, summit
cado	to fall, fall down, descend
caelo	to engrave in relief, make raised work, carve, engrave
caelum	
caelum1	
caespes	a turf, cut sod
calamus	a reed, cane
calathus	a wicker-basket, hand-basket (for flowers, wool, etc.)
caltha	a yellow flower, marigold
campus1	
candidus	shining white, clear, bright
canis	a dog
cano	to sing, to prophesy
cantharus	a wide drinking-vessel with handles, tankard, pot
canto	to produce melodious sounds, sound, sing, play
canus	white, hoary
capella	a she-goat
caper	a he-goat, goat
capio2	
capreolus	a wild goat, chamois, roebuck
capto	to strive to seize, lay hold of, catch at, snatch, chase, hunt, capture
caput	the head
carduus	the thistle, wild thistle
carectum	a field of rushes, sedgeplot
carmen1	
carpo	to pick, pluck, pluck off, cull, crop, gather
carus	dear, precious, valued, esteemed, beloved
casa	a small house, cottage, hut, cabin, shed
caseus	cheese
casia	wild cinnamon, a fragrant shrub, mezereon
castanea	the chestnut-tree, a chestnut
castaneus	
castra2	a military camp, encampment (regularly a square surrounded by a trench, and a wall with four gates): stativa, permanent
castus2	ceremonial state of abstinence
catulus	Catulus; cognomen in the gens Lutatia
caueo	
