Meliboeus,Meliboeus
Tityre,Tityrus
tu,tu
patulae,patulus
recubans,recubo
sub,sub
tegmine,tegimen
fagi,fagus
silvestrem,siluestris
tenui,tenuis
Musam,Musa
meditaris,meditor
avena,auena
nos,nos
patriae,patria
fines,finis
et,et2
dulcia,dulcis
linquimus,linquo
arva,aruum
patriam,patria
fugimus,fugio
lentus,lentus
in,in
umbra,umbra
formosam,formosus
resonare,resono1
doces,doceo
Amaryllida,Amaryllis
silvas,silua
Tityrus,Tityrus
O,o
Meliboee,Meliboeus
deus,deus
nobis,nos
haec,hic1
otia,otium
fecit,facio
namque,namque
erit,sum1
ille,ille
mihi,ego
semper,semper
illius,ille
aram,ara
saepe,saepe
tener,tener
nostris,noster
ab,ab
ovilibus,ouile
imbuet,imbuo
agnus,agnus
Ille,ille
meas,meus
errare,erro2
boves,bos
ut,ut1
cernis,cerno
ipsum,ipse
ludere,ludo
quae,qui1
vellem,uolo3
calamo,calamus
permisit,permitto
agresti,agrestis
Non,non
equidem,equidem
invideo,inuideo
miror,miror
magis,magis2
undique,undique
totis,totus
usque,usque
adeo,adeo2
turbatur,turbo2
agris,ager
En,en
ipse,ipse
capellas,capella
protinus,protinus
aeger,aeger2
ago,ago
hanc,hic1
etiam,etiam
vix,uix
duco,duco
hic,hic2
inter,inter
densas,densus
corylos,corylus
modo,modo1
gemellos,gemellus2
spem,spes
gregis,grex
ah,ah
silice,silex
nuda,nudus
conixa,connitor2
reliquit,relinquo
Saepe,saepe
malum,malum1
hoc,hic1
si,si2
mens,mens
non,non
laeva,laeuus
fuisset,sum1
de,de
caelo,caelum1
tactas,tango
memini,memini
praedicere,praedico2
quercus,quercus
Sed,sed
tamen,tamen
iste,iste
qui,qui1
sit,sum1
da,do
Urbem,urbs
quam,qui1
dicunt,dico2
Romam,Roma
putavi,puto
stultus,stultus
ego,ego
huic,hic1
nostrae,noster
similem,similis
quo,quo1
solemus,soleo
pastores,pastor
ovium,ouis
teneros,tener
depellere,depello
fetus,fetus1
sic,sic
canibus,canis
catulos,catulus
similis,similis
matribus,mater
haedos,haedus
noram,nosco
parvis,paruus2
componere,compono
magna,magnus
solebam,soleo
verum,uerum4
tantum,tantum2
alias,alius
caput,caput
extulit,effero2
urbes,urbs
quantum,quantum3
lenta,lentus
solent,soleo
viburna,uiburnum
cupressi,cupressus
Et,et2
quae,quis1
tanta,tantus
fuit,sum1
tibi,tu
causa,causa
videndi,uideo
Libertas,Libertas
sera,serus
respexit,respicio
inertem,iners
candidior,candidus
postquam,postquam
tondenti,tondeo
barba,barba
cadebat,cado
longo,longus
post,post1
tempore,tempus1
venit,uenio
Amaryllis,Amaryllis
habet,habeo
Galatea,Galatea
fatebor,fateor
enim,enim2
dum,dum2
me,ego
tenebat,teneo
nec,nec2
spes,spes
libertatis,libertas
erat,sum1
cura,cura
peculi,peculium
quamvis,quamuis2
multa,multus
meis,meus
exiret,exeo1
victima,uictima
saeptis,saepio
pinguis,pinguis
ingratae,ingratus
premeretur,premo
caseus,caseus
urbi,urbs
umquam,umquam
gravis,grauis
aere,aes
domum,domus
dextra,dextera
redibat,redeo1
Mirabar,miror
quid,quis1
maesta,maestus
deos,deus
Amarylli,Amaryllis
vocares,uoco
cui,qui1
pendere,pendo
sua,suus
patereris,patior
arbore,arbor
poma,pomum
hinc,hinc
aberat,absum1
Ipsae,ipse
te,tu
pinus,pinus
ipsi,ipse
fontes,fons
ipsa,ipse
arbusta,arbustum
vocabant,uoco
Quid,quis1
facerem,facio
Neque,neque
servitio,seruitium
exire,exeo1
licebat,licet1
tam,tam
praesentis,praesens
alibi,alibi
cognoscere,cognosco
divos,diuus1
illum,ille
vidi,uideo
iuvenem,iuuenis1
quot,quot1
annis,annus
bis,bis
senos,senus
nostra,noster
dies,dies
altaria,altar
fumant,fumo
hic,hic1
responsum,responsum
primus,primus
dedit,do
petenti,peto
pascite,pasco
ante,ante1
pueri,puer
submittite,submitto
tauros,taurus
Fortunate,Fortunatus
senex,senex1
ergo,ergo2
tua,tuus
rura,rus
manebunt,maneo
satis,satis1
quamvis,quamuis1
lapis,lapis
omnia,omnis
nudus,nudus
limosoque,limosus
{limosoque},que
palus,palus2
obducat,obduco
pascua,pascuum
iunco,iuncus
insueta,insuetus
temptabunt,tento
pabula,pabulum
fetas,fetus2
mala,malum1
vicini,uicinus2
pecoris,pecus1
contagia,contagium
laedent,laedo
Fortunate,fortunatus
flumina,flumen
nota,notus2
fontis,fons
sacros,sacer
frigus,frigus
captabis,capto
opacum,opacus
vicino,uicinus2
limite,limes
saepes,saepes
Hyblaeis,Hyblaeus
apibus,apis
florem,flos
depasta,depascor
salicti,salictum
levi,leuis1
somnum,somnus
suadebit,suadeo
inire,ineo1
susurro,susurrus
alta,altus
rupe,rupes
canet,cano
frondator,frondator
ad,ad2
auras,aura
interea,interea
raucae,raucus
palumbes,palumbes
gemere,gemo
aëria,aerius
cessabit,cesso
turtur,turtur
ulmo,ulmus
Ante,ante2
leves,leuis1
pascentur,pascor
aequore,aequor
cervi,ceruus
freta,fretum
destituent,destituo
nudos,nudus
litore,litus
pisces,piscis
pererratis,pererro2
amborum,ambo2
finibus,finis
exsul,exsul
aut,aut
Ararim,Araris
Parthus,Parthus
bibet,bibo2
Germania,Germania
Tigrim,Tigris
quam,quam1
nostro,noster
labatur,labor2
pectore,pectus
voltus,uultus
At,at2
alii,alius
sitientis,sitio
ibimus,eo1
Afros,Afri
pars,pars
Scythiam,Scythia
rapidum,rapidus
Cretae,Creta
veniemus,uenio
Oaxen,Oaxes
penitus,penitus2
toto,totus
divisos,diuido
orbe,orbis
Britannos,Britanni
patrios,patrius
finis,finis
pauperis,pauper
tuguri,tugurium
congestum,congero2
caespite,caespes
culmen,culmen
post,post2
aliquot,aliquot
mea,meus
regna,regnum
videns,uideo
mirabor,miror
aristas,arista
Impius,impius
culta,colo2
novalia,nouale
miles,miles
habebit,habeo
barbarus,barbarus2
has,hic1
segetes,seges
quo,quo2
discordia,discordia
civis,ciuis
produxit,produco
miseros,miser
His,hic1
consevimus,consero3
agros,ager
Insere,insero3
nunc,nunc
piros,pirus
pone,pono
ordine,ordo
vitis,uitis
Ite,eo1
meae,meus
felix,felix
quondam,quondam
pecus,pecus1
ite,eo1
capellae,capella
vos,uos
posthac,posthac
viridi,uiridis
proiectus,proicio
antro,antrum
dumosa,dumosus
pendere,pendeo
procul,procul
videbo,uideo
carmina,carmen1
nulla,nullus
canam,cano
pascente,pasco
florentem,floreo
cytisum,cytisus
salices,salix
carpetis,carpo
amaras,amarus
Hic,hic2
mecum,ego
{mecum},cum3
poteras,possum1
requiescere,requiesco
noctem,nox
fronde,frons2
super,super1
sunt,sum1
mitia,mitis
castaneae,castanea
molles,mollis
pressi,premo
copia,copia
lactis,lac
iam,iam
summa,superus
villarum,uilla
culmina,culmen
maioresque,magnus
{maioresque},que
cadunt,cado
altis,altus
montibus,mons
umbrae,umbra
